Age,PriorConvictions,MentalHealth,DrugUse,EmploymentStatus,CrimeType,Reoffend
65,56,None,Frequent,Criminal Income,Kidnapping,1
8,19,Undiagnosed,Occasional,Unemployed,Assault,1
29,58,Mild,Not Found,Criminal Income,Cybercrime,1
34,54,Mild,Never,Unemployed,Cybercrime,1
45,63,Undiagnosed,Not Found,Unemployed,Dacoity,1
47,53,Severe,Occasional,Criminal Income,Other,1
53,57,Severe,Dealer,Unemployed,Other,1
44,41,None,Addicted,Unemployed,Assault,1
9,66,In Recovery,Occasional,Criminal Income,Theft,1
21,36,Mild,Frequent,Full-Time,Theft,1
53,38,Undiagnosed,Dealer,Criminal Income,Fraud,1
80,17,Undiagnosed,Not Found,Unemployed,Theft,1
21,52,In Recovery,Not Found,Unemployed,Assault,1
32,48,None,Occasional,Unemployed,Dacoity,1
20,2,Severe,Never,Full-Time,Fraud,0
34,89,Severe,Addicted,Full-Time,Kidnapping,1
67,17,None,Dealer,Part-Time,Assault,1
37,53,None,Dealer,Full-Time,Kidnapping,1
47,5,In Recovery,Not Found,Full-Time,Drug Offense,0
13,31,Undiagnosed,Not Found,Full-Time,Assault,1
24,94,Mild,Not Found,Part-Time,Assault,1
12,7,Severe,Not Found,Unemployed,Other,1
77,40,Undiagnosed,Dealer,Part-Time,Dacoity,1
30,37,Undiagnosed,Addicted,Full-Time,Assault,1
29,82,In Recovery,Addicted,Criminal Income,Dacoity,1
22,86,Undiagnosed,Frequent,Unemployed,Fraud,1
29,80,Mild,Occasional,Unemployed,Other,1
70,44,Mild,Dealer,Full-Time,Kidnapping,1
21,20,None,Occasional,Full-Time,Cybercrime,0
62,55,Severe,Dealer,Criminal Income,Kidnapping,1
61,96,Mild,Frequent,Criminal Income,Other,1
33,15,Severe,Not Found,Part-Time,Rape,1
21,21,Severe,Dealer,Full-Time,Theft,1
28,90,In Recovery,Occasional,Criminal Income,Fraud,1
68,26,Severe,Not Found,Part-Time,Kidnapping,1
23,84,In Recovery,Frequent,Full-Time,Assault,1
76,11,Severe,Frequent,Full-Time,Rape,1
46,61,Undiagnosed,Dealer,Part-Time,Rape,1
55,11,Undiagnosed,Dealer,Unemployed,Dacoity,1
42,90,Undiagnosed,Dealer,Part-Time,Kidnapping,1
25,81,Mild,Addicted,Part-Time,Cybercrime,1
59,68,Undiagnosed,Dealer,Criminal Income,Murder,1
51,0,Mild,Frequent,Unemployed,Theft,0
65,58,Mild,Addicted,Part-Time,Theft,1
26,71,Undiagnosed,Frequent,Unemployed,Cybercrime,1
57,86,In Recovery,Occasional,Full-Time,Fraud,1
72,42,Undiagnosed,Not Found,Criminal Income,Kidnapping,1
25,74,Severe,Occasional,Criminal Income,Murder,1
9,26,In Recovery,Frequent,Unemployed,Rape,1
43,84,Mild,Not Found,Unemployed,Rape,1
65,3,Mild,Occasional,Part-Time,Drug Offense,0
13,28,Severe,Addicted,Unemployed,Rape,1
40,53,Severe,Never,Full-Time,Theft,1
22,39,Severe,Dealer,Unemployed,Dacoity,1
72,68,Severe,Never,Unemployed,Kidnapping,1
76,98,None,Dealer,Full-Time,Kidnapping,1
11,58,In Recovery,Never,Criminal Income,Dacoity,1
62,59,None,Frequent,Part-Time,Dacoity,1
67,72,Undiagnosed,Never,Unemployed,Kidnapping,1
39,26,None,Frequent,Full-Time,Theft,0
17,0,Mild,Not Found,Part-Time,Cybercrime,0
35,64,Mild,Not Found,Criminal Income,Drug Offense,1
31,56,In Recovery,Dealer,Part-Time,Murder,1
31,24,In Recovery,Never,Part-Time,Dacoity,0
21,52,None,Frequent,Full-Time,Other,1
79,99,Severe,Occasional,Unemployed,Drug Offense,1
61,23,Mild,Never,Criminal Income,Fraud,0
68,94,Mild,Not Found,Full-Time,Dacoity,1
46,34,In Recovery,Not Found,Part-Time,Kidnapping,1
47,48,Severe,Addicted,Criminal Income,Fraud,1
40,97,Undiagnosed,Frequent,Unemployed,Theft,1
49,47,None,Frequent,Full-Time,Assault,1
61,20,None,Frequent,Full-Time,Dacoity,0
37,56,None,Addicted,Full-Time,Kidnapping,1
30,68,Mild,Frequent,Unemployed,Other,1
69,84,Undiagnosed,Addicted,Part-Time,Kidnapping,1
43,59,None,Dealer,Unemployed,Cybercrime,1
33,48,In Recovery,Never,Criminal Income,Murder,1
21,68,Severe,Dealer,Unemployed,Theft,1
43,11,Undiagnosed,Occasional,Full-Time,Dacoity,0
36,91,Undiagnosed,Never,Part-Time,Murder,1
56,46,Undiagnosed,Not Found,Full-Time,Cybercrime,1
36,11,In Recovery,Occasional,Criminal Income,Assault,1
37,4,None,Never,Full-Time,Dacoity,0
64,27,Severe,Addicted,Criminal Income,Drug Offense,1
60,37,Mild,Frequent,Full-Time,Dacoity,1
